id,year,title,doc_num,attaches
22544,2010,한국한의학연구원_변경CP 품의 바랍니다,ANY-사업- 0012,"[{""name"": ""변경안_한국한의학연구원_통합연구관리1단계_CP(V2 3 3)_20100210.xls"", ""path"": """"}]"
22601,2010,한국한의학연구원 변경CP 품의 요청 (20100310),ANY-사업- 0023,"[{""name"": ""한국한의학연구원_통합연구관리1단계_CP(V2.3.4)_20100310.xls"", ""path"": """"}]"
22604,2010,한의학연구원_PM교체에따른_3월12일까지 법인카드사용내역서 보고,ANY-경비- 0024,"[{""name"": ""한국한의학연구원_김하응_법인카드사용신청서_2010314.ppt"", ""path"": """"}]"
16844,2012,삼성건설_2012년 01월 체크카드사용내역(재기안),ANY-경비- 0450,"[{""name"": ""법인카드_사용내역보고(201201).xlsx"", ""path"": """"}]"
18528,2013,5월 야근식대 품의,ANY-경비- 0014,"[{""name"": ""IMG_20130520_161922.jpg"", ""path"": """"}, {""name"": ""IMG_20130520_161955.jpg"", ""path"": """"}]"
18557,2013,5월 4주 야근식대 품의,ANY-경비- 0016,"[{""name"": ""IMG_20130525_200126.jpg"", ""path"": """"}, {""name"": ""IMG_20130525_200140.jpg"", ""path"": """"}]"
18598,2013,5월 5주 야근식재 품의,ANY-경비- 0019,"[{""name"": ""IMG_20130601_014454.jpg"", ""path"": """"}, {""name"": ""IMG_20130601_014503.jpg"", ""path"": """"}, {""name"": ""IMG_20130601_014547.jpg"", ""path"": """"}, {""name"": ""IMG_20130601_014604.jpg"", ""path"": """"}, {""name"": ""IMG_20130602_131832.jpg"", ""path"": """"}]"
19616,2014,야근식대 품의,ANY-경비- 0074,"[{""name"": ""IMG_20131229_121007.jpg"", ""path"": """"}]"
21496,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0272,"[{""name"": ""S22C-115042108580.pdf"", ""path"": """"}]"
21507,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0273,"[{""name"": ""S22C-115042412520.pdf"", ""path"": """"}]"
21602,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0277,"[{""name"": ""S22C-115052009020.pdf"", ""path"": """"}]"
21697,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0282,"[{""name"": ""20150609_원자력_이상민사원.pdf"", ""path"": """"}]"
21767,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0085,"[{""name"": ""20150626_원자력연구원출장.pdf"", ""path"": """"}]"
21780,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0390,"[{""name"": ""20150626_원자력연구원출장.pdf"", ""path"": """"}]"
21830,2015,"[한라비스테온,한국원자력연구원]출장비 품의",ANY-경비- 0393,"[{""name"": ""20150715_한라비스테온,한국원자력연구원출장비.pdf"", ""path"": """"}]"
21966,2015,20150817~20150818 원자력연구우원 결재품의 상신,ANY-경비- 0402,"[{""name"": ""20150817~20150818 원자력출장.pdf"", ""path"": """"}]"
22020,2015,김하응_201508_경비,ANY-경비- 0408,"[{""name"": ""김하응_애니파이브_20150831_경비.pdf"", ""path"": """"}]"
22046,2015,김하응_20150908_경비,ANY-경비- 0414,"[{""name"": ""김하응(경비)_P2MS_대전방문_20150908.jpg"", ""path"": """"}]"
22145,2015,KOSA 기술자 최초신고 등록비 품의,ANY-인사- 0132,"[{""name"": ""20151008_KOSA영수증.JPG"", ""path"": """"}]"
22163,2015,김하응_20151002_경비,ANY-경비- 0422,"[{""name"": ""20151002_택시비(김하응).png"", ""path"": """"}]"
22210,2015,김하응_20151027_경비,ANY-경비- 0427,"[{""name"": ""김하응_대전출장_20151027.png"", ""path"": """"}]"
22346,2015,김하응(201511)_IITP_법인카드정산,ANY-경비- 0800,"[{""name"": ""김하응_법인카드_사용내역보고(20151124).xls"", ""path"": """"}]"
22354,2015,김하응_ICT-Bay2단계 워크샾 경비 품의,ANY-구매- 0087,"[{""name"": ""분석단계_WS_애니파이브 19명 견적서 (2015. 12. 16(수).xlsx"", ""path"": """"}]"
22462,2015,김하응(201512)_IITP_법인카드정산,ANY-경비- 0807,"[{""name"": ""김하응_법인카드_사용내역보고(20151230).xls"", ""path"": """"}]"
8261,2016,김하응(20160131)_IITP_법인카드정산,ANY-경비- 0820,"[{""name"": ""김하응_법인카드_사용내역보고(20160131).xls"", ""path"": """"}]"
8299,2016,ICT-Bay2단계 고도화 - 검색기능고도화 관련 발주품의,ANY-구매- 0022,"[{""name"": ""DiQuest_견적서(애니파이브_정보통신기술진흥센터_ICT Bay 검색엔진 개발 관련_20160217).pdf"", ""path"": """"}]"
8376,2016,ICT-Bay2단계 웹취약점점검관련 발주품의,ANY-구매- 0023,"[{""name"": ""견적서_ICT-Bay_소스코드진단_20160307.pdf"", ""path"": """"}]"
8477,2016,ICT-Bay 이미지 구매요청건,ANY-구매- 99,"[{""name"": ""ICT-BAY_메인화면_이미지라이센스_비용정리(20160330).ppt"", ""path"": """"}]"
8497,2016,(재기안)_ICT-Bay2단계 법인카드정산 (201603),ANY-경비- 861,"[{""name"": ""김하응_법인카드_사용내역보고(20160331).xls"", ""path"": """"}]"
8605,2016,ICT-Bay2단계 법인카드정산 (201604),ANY-경비- 881,"[{""name"": ""김하응_법인카드_사용내역보고(20160429).xls"", ""path"": """"}]"
8693,2016,김하응_시내교통비(야근귀가_0526),ANY-경비- 517,"[{""name"": ""김하응-20160527_택시비.jpg"", ""path"": """"}]"
8757,2016,김하응_시외교통비(산림청 출장_0615),ANY-경비- 527,"[{""name"": ""김하응_고속버스승차권_20160615.jpg"", ""path"": """"}]"
8996,2016,김하응_시외교통비(나주 출장_0816),ANY-경비-550,"[{""name"": ""김하응_나주방문_20160816(교통비_영수증).jpg"", ""path"": """"}]"
9047,2016,2016년08월 법인카드 정산내역 품의(송준선),ANY-경비-942,"[{""name"": ""에트리 R&BD2차유지관리 및 PMS시스템유지관리 사기진작비 품의.pdf"", ""path"": """"}, {""name"": ""법인카드_사용내역보고_송준선(201608).xlsx"", ""path"": ""approval_2020_attachments/apr5908504/법인카드_사용내역보고_송준선(201608).xlsx""}]"
9417,2016,중국 청도 출장 품위서,ANY-인사-9,"[{""name"": ""청도 출장전 경비_증빙첨부양식 O.xls"", ""path"": """"}]"
9585,2016,리모트콜(Remote Call) 서비스 사용 재구매,ANY-구매-214,"[{""name"": ""리모트콜 (4 0) Basic_ ASP_(주)애니파이브시스템_11월23일(2).xls"", ""path"": """"}]"
10246,2017,2017.04.05 민방위 훈련 신청,ANY-인사-218,"[{""name"": ""2017_이상민대리_민방위훈련_통지서.jpg"", ""path"": """"}]"
10662,2017,2017.06.19 휴가 품의,ANY-인사-2715,"[{""name"": ""병원.jpg"", ""path"": """"}]"
10847,2017,2017.07.24 출장 품의서,ANY-인사-501,"[{""name"": ""20170724_출장품의.pdf"", ""path"": """"}]"
