id,year,title,doc_num
22544,2010,한국한의학연구원_변경CP 품의 바랍니다,ANY-사업- 0012
22601,2010,한국한의학연구원 변경CP 품의 요청 (20100310),ANY-사업- 0023
22604,2010,한의학연구원_PM교체에따른_3월12일까지 법인카드사용내역서 보고,ANY-경비- 0024
16844,2012,삼성건설_2012년 01월 체크카드사용내역(재기안),ANY-경비- 0450
18528,2013,5월 야근식대 품의,ANY-경비- 0014
18557,2013,5월 4주 야근식대 품의,ANY-경비- 0016
18598,2013,5월 5주 야근식재 품의,ANY-경비- 0019
19616,2014,야근식대 품의,ANY-경비- 0074
21496,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0272
21507,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0273
21602,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0277
21697,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0282
21767,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0085
21780,2015,[한국원자력연구원]출장품의 상신,ANY-경비- 0390
21830,2015,"[한라비스테온,한국원자력연구원]출장비 품의",ANY-경비- 0393
21966,2015,20150817~20150818 원자력연구우원 결재품의 상신,ANY-경비- 0402
22020,2015,김하응_201508_경비,ANY-경비- 0408
22046,2015,김하응_20150908_경비,ANY-경비- 0414
22145,2015,KOSA 기술자 최초신고 등록비 품의,ANY-인사- 0132
22163,2015,김하응_20151002_경비,ANY-경비- 0422
22210,2015,김하응_20151027_경비,ANY-경비- 0427
22346,2015,김하응(201511)_IITP_법인카드정산,ANY-경비- 0800
22354,2015,김하응_ICT-Bay2단계 워크샾 경비 품의,ANY-구매- 0087
22462,2015,김하응(201512)_IITP_법인카드정산,ANY-경비- 0807
8261,2016,김하응(20160131)_IITP_법인카드정산,ANY-경비- 0820
8299,2016,ICT-Bay2단계 고도화 - 검색기능고도화 관련 발주품의,ANY-구매- 0022
8376,2016,ICT-Bay2단계 웹취약점점검관련 발주품의,ANY-구매- 0023
8477,2016,ICT-Bay 이미지 구매요청건,ANY-구매- 99
8497,2016,(재기안)_ICT-Bay2단계 법인카드정산 (201603),ANY-경비- 861
8605,2016,ICT-Bay2단계 법인카드정산 (201604),ANY-경비- 881
8693,2016,김하응_시내교통비(야근귀가_0526),ANY-경비- 517
8757,2016,김하응_시외교통비(산림청 출장_0615),ANY-경비- 527
8996,2016,김하응_시외교통비(나주 출장_0816),ANY-경비-550
9047,2016,2016년08월 법인카드 정산내역 품의(송준선),ANY-경비-942
9417,2016,중국 청도 출장 품위서,ANY-인사-9
9585,2016,리모트콜(Remote Call) 서비스 사용 재구매,ANY-구매-214
10246,2017,2017.04.05 민방위 훈련 신청,ANY-인사-218
10662,2017,2017.06.19 휴가 품의,ANY-인사-2715
10847,2017,2017.07.24 출장 품의서,ANY-인사-501
11094,2017,[입사품의] 신입사원 입사 품의_김정민,ANY-인사-31
11514,2017,리모트콜(Remote Call) 서비스 사용 재구매,ANY-구매-233
12811,2018,교육훈련(자격증/세미나) 신청 품의,ANY-인사-180
13162,2018,리모트콜(Remote Call) 서비스 사용 재구매,ANY-구매-242
13374,2019,기타 경비 신청서,ANY-경비-446
13467,2019,(변경계약)연세대학교 연구정보팀 업적관리시스템 운영 서비스 계약 품의,ANY-사업-492
14284,2019,(갱신) 한화토탈 주식회사 지식재산통합관리시스템 유지보수 계약,ANY-사업-543
14312,2019,출장비 지급 신청서,ANY-경비474
14359,2019,(기능개선) 기초과학연구원 iDEA(지식재산권지원시스템) 기능개선 용역 계약,ANY-사업-545
14420,2019,출장비 지급 신청서,ANY-경비482
14476,2019,(신규) (주)뷰웍스 지식재산통합관리시스템(IP-Brain) 유지보수 계약,ANY-사업-555
14477,2019,(신규) 이화여자대학교 지식재산권 통합 관리 시스템 유지보수 용역 계약,ANY-사업-556
14498,2019,(기능개선) SK바이오사이언스 MS 인터페이스 특허관리시스템 개발 계약,ANY-사업-558
14502,2019,(기능개선) (주)엘지씨엔에스 U-IPTS(특허관리시스템)_품의서 결재선 수정 개발 계약,ANY-사업-559
14533,2019,(갱신) 야쿠르트 연구과제관리(R2MS) 유지보수 계약,ANY-사업-569
14566,2019,출장비 지급 신청서,ANY-경비499
14569,2019,(기능개선) 효성 지재권관리시스템 문서중앙화 기능 추가 개발 계약,ANY-사업-572
14685,2019,출장비 지급 신청서,ANY-경비507
14831,2020,출장비 지급 신청서,ANY-경비519
14833,2020,(갱신) 2020년 사내IT관리_특허관리시스템 유지보수 계약,ANY-사업-620
14834,2020,(기능개선) 삼성물산 지식재산시스템 웹 취약점 조치 용역 계약,ANY-사업-618
14835,2020,(기능개선) 삼성중공업 DRM 기능개선 계약,ANY-사업-617
14841,2020,(갱신) 엘지이노텍(주) 특허시스템 유지보수 계약,ANY-사업-621
14848,2020,(갱신) 20년 삼성중공업 지재권관리시스템 유지보수 계약,ANY-사업-624
14849,2020,(갱신) 선영특허법률사무소 업무포털시스템 운영 유지보수 계약,ANY-사업-623
14857,2020,(갱신) 20년 주성엔지니어링 지재권관리시스템 유지보수 계약,ANY-사업-627
14897,2020,(갱신) 20년 LS오토모티브 지재권(특허) 관리시스템 유지보수(IPMS) 계약,ANY-사업-635
14898,2020,(갱신) 20년 건설기술연구원 지재권관리시스템 유지보수 계약,ANY-사업-634
14899,2020,(갱신) 20년 아모레퍼시픽 지식재산포털시스템 유지보수 계약,ANY-사업-633
14900,2020,(기능개선) LS산전 지식재산관리시스템 기능 및 속도개선 계약,ANY-사업-637
14901,2020,(갱신) 20년 원자력연구원 전자도서관 “전자연구노트” 솔루션 유지보수 계약,ANY-사업-638
14910,2020,(갱신) 20년 삼양 지식재산권관리시스템 유지보수 계약,ANY-사업-643
14922,2020,출장비 지급 신청서,ANY-경비526
14986,2020,(갱신) 20년 경상대학교 전자연구노트 시스템 유지보수 계약,ANY-사업-653
14987,2020,(기능개선) 삼양 지식재산권 연차료 암호화 문서 복호화 모듈 추가 계약,ANY-사업-654
14994,2020,(갱신) 20년 GS칼텍스 지식재산권 관리 시스템 유지보수 계약,ANY-사업-655
14995,2020,(갱신) 20년 한국지식재산협회 유지보수 계약,ANY-사업-656
15007,2020,출장비 지급 신청서,ANY-경비541
15069,2020,(기능개선) 한국지식재산협회 홈페이지 기능개선 용역 계약,ANY-사업-664
15089,2020,출장비 지급 신청서,ANY-경비553
15121,2020,(갱신) 20년 위니아대우 유지보수 계약,ANY-사업-673
15176,2020,출장비 지급 신청서,ANY-경비558
15183,2020,(갱신) 20년 기초과학연구원 지식재산권시스템 유지보수 용역 계약,ANY-사업-681
429,2021,(서부발전) 이중화 서버 H/W (4대) 구매건,ANY-구매-95
538,2021,(서부발전) DRM 암복호화 솔루션 구매건,ANY-구매-115
539,2021,(서부발전) 서버 이중화에 의한 PDF변환 솔루션 구매건,ANY-구매-114
